"gene","distance","pval"
"107527at32523",40.7433008102212,1
"107601at32523",121.054508905081,0.973358864066327
"107649at32523",45.0643216709061,1
"107664at32523",37.185501799338,1
"107685at32523",40.2816487007059,1
"107727at32523",35.4815182064081,1
"107749at32523",71.1665897036849,0.999999998172324
"107952at32523",535.629571675656,6.30477198629978e-44
"107978at32523",185.095136951159,0.0394007925638995
"108138at32523",90.9567243451521,0.999983133335601
"108402at32523",17.3981612353937,1
"108497at32523",68.0925044883693,0.99999999971991
"108666at32523",29.3724656197434,1
"10881at32523",9.01830806084286,1
"108863at32523",294.43442874625,5.21526655879928e-11
"108898at32523",76.9658037443611,0.999999956832677
"108945at32523",9.88801644377025,1
"108973at32523",166.764412012182,0.211197318393385
"108998at32523",319.340210884195,8.68730205353454e-14
"109060at32523",371.537873429798,3.30102972655163e-20
"109107at32523",135.979157345861,0.834760552893277
"109112at32523",257.674742211776,2.47170634371313e-07
"109155at32523",14.0430731890945,1
"109227at32523",232.726263970966,3.43745053296439e-05
"109312at32523",95.9697623670391,0.999910157142972
"109331at32523",89.2534497743778,0.999990916797538
"109347at32523",108.50455021096,0.997474850428905
"109356at32523",57.9919367499835,0.999999999999818
"109366at32523",168.927278494804,0.179178537560683
"1093at32523",217.646320227337,0.000463681892291655
"109425at32523",117.230069300447,0.985784904705359
"10949at32523",322.863562910918,3.38478586633669e-14
"109514at32523",17.1566821168271,1
"109602at32523",245.926246783468,2.76608582591632e-06
"109624at32523",86.8064892657162,0.999996442201606
"109646at32523",1046.17679561652,6.4750575315623e-133
"109650at32523",312.387525710972,5.43564150086504e-13
"109723at32523",27.4454355732302,1
"109835at32523",15.4238149596401,1
"109851at32523",7.39545759496988,1
"109929at32523",52.6674297132378,0.999999999999998
"109971at32523",17.3006519175504,1
"109977at32523",10.1324607807137,1
"110019at32523",14.6380840266977,1
"110140at32523",300.495993941907,1.14957735026126e-11
"110217at32523",13.54065182851,1
"110242at32523",22.1212815456208,1
"11031at32523",22.414771522406,1
"110363at32523",33.549391719554,1
"110563at32523",4.29225690033499,1
"110575at32523",10.7494788771944,1
"110615at32523",129.864631339525,0.912637322843333
"110637at32523",52.3468692389485,0.999999999999999
"110654at32523",119.668400040497,0.978603594763239
"110811at32523",486.492612907935,2.14737763473557e-36
"110876at32523",16.4326444433152,1
"11088at32523",193.529269412143,0.0147617046846303
"110921at32523",162.984407754061,0.275344854024123
"110948at32523",59.6380774300719,0.999999999999309
"111050at32523",148.090004708639,0.596973190599297
"111173at32523",6.71917500734657,1
"111184at32523",104.460252069344,0.99902978090006
"111190at32523",155.135737920417,0.436595279901321
"111285at32523",20.4078477986797,1
"111303at32523",10.4443410331224,1
"111371at32523",62.7958939990394,0.999999999992376
"111464at32523",211.186838763434,0.00128072635976441
"111475at32523",15.7839093791442,1
"111650at32523",45.4604511062588,1
"111843at32523",54.7928703584246,0.999999999999989
"11195at32523",14.152931002838,1
"112209at32523",136.73458130654,0.822911684713027
"112288at32523",187.731382060427,0.0293864933979597
"112312at32523",13.0157162158641,1
"112317at32523",69.7884873743357,0.999999999197115
"112394at32523",20.8674507212573,1
"112399at32523",20.9545620041956,1
"112421at32523",491.945851881317,3.24434176472544e-37
